        Nucleus Proprius Of Spinal Cord    UBERON:0016610
        Parasympathetic Ganglion    FMA:5894
        Regional Part Of Spinal Cord    UBERON:0001948
        Regional Part Of Vestibular Ganglion
        Roof Plate Spinal Cord Region    UBERON:0005724
        Root Of Lumbar Spinal Nerve    FMA:16421
        Root Of Sacral Nerve    FMA:18028
        Root Of Thoracic Nerve    FMA:14064
        Segment Of Spinal Cord    FMA:62420
        Spinal Cord    FMA:7647
        Spinal Cord Dorsal Column    UBERON:0005373
        Spinal Cord Dorsal Horn    UBERON:0002256
        Spinal Cord Dorsal White Commissure    UBERON:0007840
        Spinal Cord Ependyma    UBERON:0005359
        Spinal Cord Gray Commissure    UBERON:0004677
        Spinal Cord Gray Commissure    UBERON:0004677
        Spinal Cord Gray Matter    UBERON:0002315
        Spinal Cord Lateral Columns    UBERON:0005374
        Spinal Cord Lateral Horn    UBERON:0004676
        Spinal Cord Lateral Horn    UBERON:0004676
        Spinal Cord Lateral Wall    UBERON:0009582
        Spinal Cord Reticular Nucleus    UBERON:0006319
        Spinal Cord Ventral Commissure    UBERON:0004170
        Spinal Cord Ventral Horn    UBERON:0002257
        Spinal Cord White Commissure    UBERON:0007838
        Spinal Ganglion Part Of Peripheral Nervous System
        Subdivision Of Spinal Cord Central Canal    UBERON:0014538
        Substantia Gelatinosa    FMA:74019
        Superior Part Of Vestibular Ganglion    UBERON:0002825
        Tract Of Spinal Cord    FMA:75683
        Urophysis    UBERON:0011359
        Ventral Commissural Nucleus Of Spinal Cord    UBERON:0034771
        Ventral Corticospinal Tract    UBERON:0002760
        Ventral Gray Commissure Of Spinal Cord    FMA:77038
        Ventral Nerve Root Of Lumbar Spinal Cord    UBERON:0024382
        Ventral Nerve Root Of Sacral Spinal Cord    UBERON:0023623
        Vestibular Ganglion    FMA:53435
        White Matter Of Spinal Cord    UBERON:0002318
    Dorsal Root Gangla Of Spinal Segments
        Cervical Dorsal Root Gangla
            Cervical Dorsal Root Gangla
            First Cervical Dorsal Root Ganglion    UBERON:0002838
            Second Cervical Dorsal Root Ganglion    UBERON:0002839
            Third Cervical Dorsal Root Ganglion    UBERON:0002840
            Fourth Cervical Dorsal Root Ganglion    UBERON:0002841
            Fifth Cervical Dorsal Root Ganglion    UBERON:0002842
            Sixth Cervical Dorsal Root Ganglion    UBERON:0007711
            Seventh Cervical Dorsal Root Ganglion    UBERON:0002843
        Thoracic Dorsal Root Ganglia    UBERON:0002835
            Thoracic Dorsal Root Ganglia    UBERON:0002835
            First Thoracic Dorsal Root Ganglion    UBERON:0002845
            Second Thoracic Dorsal Root Ganglion    UBERON:0002846
            Third Thoracic Dorsal Root Ganglion    UBERON:0002847
            Fourth Thoracic Dorsal Root Ganglion
            Fifth Thoracic Dorsal Root Ganglion    UBERON:0002848
            Sixth Thoracic Dorsal Root Ganglion    UBERON:0002849
            Seventh Thoracic Dorsal Root Ganglion    UBERON:0002850
            Eighth Thoracic Dorsal Root Ganglion    UBERON:0002851
            Ninth Thoracic Dorsal Root Ganglion    UBERON:0002852
            Tenth Thoracic Dorsal Root Ganglion    UBERON:0002853
            Eleventh Thoracic Dorsal Root Ganglion    UBERON:0002854
        Lumbar Dorsal Root Ganglia    UBERON:0002836
            Lumbar Dorsal Root Ganglia    UBERON:0002836
            First Lumbar Dorsal Root Ganglion    UBERON:0002857
            Second Lumbar Dorsal Root Ganglion    UBERON:0002856
            Third Lumbar Dorsal Root Ganglion    UBERON:0002858
            Fourth Lumbar Dorsal Root Ganglion    UBERON:0003943
        Sacral Dorsal Root Ganglia    UBERON:0002837
            Sacral Dorsal Root Ganglia    UBERON:0002837
            First Sacral Dorsal Root Ganglion    UBERON:0002860
            Second Sacral Dorsal Root Ganglion    UBERON:0002861
            Third Sacral Dorsal Root Ganglion    UBERON:0002862
            Fourth Sacral Dorsal Root Ganglion
            Fifth Sacral Dorsal Root Ganglion    UBERON:0002863
    Segment Anatomy
        Lamina Of Spinal Cord
            Lamina Of Spinal Cord
            Lamina I Of Gray Matter Of Spinal Cord    UBERON:0006118
            Substantia Gelatinosa    UBERON:0002181
            Lamina Iii Of Gray Matter Of Spinal Cord    UBERON:0016574
            Lamina Iv Of Gray Matter Of Spinal Cord    UBERON:0016575
            Lamina V Of Gray Matter Of Spinal Cord    UBERON:0016576
            Lamina Viii Of Gray Matter Of Spinal Cord    UBERON:0016579
            Lamina Ix Of Gray Matter Of Spinal Cord    UBERON:0016580
            Spinal Cord Gray Commisure
        Spinal Cord Internal Structures Per Segment
            Segment Part Of Cervical Spinal Cord    UBERON:0007714
                Segment Part Of Cervical Spinal Cord    UBERON:0007714
                Cervical Spinal Cord Dorsal Horn    UBERON:0014620
                Cervical Spinal Cord Dorsal Column    UBERON:0005841
